# Minit, Z014, Z006, Z002, Z0002
1.999353741171160603e+00,3.469641129480328656e-01,3.673573657117868985e-01,3.942494865054588238e-01,4.159028677659306616e-01
2.210280254234644026e+00,3.843018915553583215e-01,4.213878880614008171e-01,4.452781057634467299e-01,4.915785241717431364e-01
2.444300564887956995e+00,4.432978516676204239e-01,4.767764940380184169e-01,5.050125372072165053e-01,5.711335608090579719e-01
2.702176747150519809e+00,5.079791925819929777e-01,5.419297478092267584e-01,5.869247564051832677e-01,6.567612667396833803e-01
2.987239052205582723e+00,5.791115828377688679e-01,6.205193549993375246e-01,6.693688864555619178e-01,7.389965686047064164e-01
3.302308539219525496e+00,6.660434271032772413e-01,7.057366034370159413e-01,7.647672796082247704e-01,8.697841367775164256e-01
3.650518301263810272e+00,7.439684508508268568e-01,8.079818488954790823e-01,8.701464575240319688e-01,1.000373723771438961e+00
4.036115167280001970e+00,8.532356399552784021e-01,9.219656901237006652e-01,1.005483248266061391e+00,1.151306710458276594e+00
4.459965929018815167e+00,9.745357849012594720e-01,1.058034452480814069e+00,1.152272150521010952e+00,1.303094599117692098e+00
4.928602202069143345e+00,1.115179249420094720e+00,1.208917114944327187e+00,1.304774623905009756e+00,1.490218713492583502e+00
5.446905180343152075e+00,1.277220644241068737e+00,1.384230019634093534e+00,1.497745141087676091e+00,1.695696885379216479e+00
6.028666748359577277e+00,1.430535502503639700e+00,1.546905860020254320e+00,1.681082393216748239e+00,1.916094814640888044e+00
6.664741410455010673e+00,1.639361357938955210e+00,1.773258490275731791e+00,1.925414289566556025e+00,2.204594257712769956e+00
7.367920592987467820e+00,1.886606170603262411e+00,2.043623002706281611e+00,2.215100131756771784e+00,2.530420538096124883e+00
8.145284351769719322e+00,2.181302779568625283e+00,2.344077087973188700e+00,2.542753660121358728e+00,2.895468329762741710e+00
9.004655083400141535e+00,2.503331227540805060e+00,2.700205435414230415e+00,2.921642545952558567e+00,3.334735209282392088e+00
9.954694923525511996e+00,2.876236804334391550e+00,3.111070126372458500e+00,3.374970815802755375e+00,3.810788468989531275e+00
1.100495335303713951e+01,3.336172339211919358e+00,3.592325218372582896e+00,3.883560680716392710e+00,4.379454703728605125e+00
1.216604764610586642e+01,3.864550592440062271e+00,4.144332274968297369e+00,4.468866171988964631e+00,5.040582577765509775e+00
1.344958224255372237e+01,4.464104187574901239e+00,4.771984019398916033e+00,5.147311530770019239e+00,5.730964918348184334e+00
1.486850090310015204e+01,5.143541743020467294e+00,5.488258022573351269e+00,5.912486374196673111e+00,6.356917471693332544e+00
1.643708369105787881e+01,5.899311372337865400e+00,6.299957893436467948e+00,6.633477147220887993e+00,7.201482407405361386e+00
1.817105510460906359e+01,6.743647434446602418e+00,7.170789795247677567e+00,7.258353784440590317e+00,7.924224072513001538e+00
