# Minit, Z014, Z006, Z002, Z0002
1.999996786326005971e+00,2.240560875473153191e-01,2.394591520269487295e-01,2.509754655720606298e-01,2.577976081688750365e-01
2.211019253825743824e+00,2.578047479547121990e-01,2.721101144343329725e-01,2.880822049544772834e-01,2.987607817073370531e-01
2.444306926633749821e+00,2.942205851205678679e-01,3.081836894345620914e-01,3.263851137074871844e-01,3.416657311610913350e-01
2.702208880875581531e+00,3.339218934997468247e-01,3.520833367806382452e-01,3.701287590611883060e-01,3.870752119375113764e-01
2.987321986972161447e+00,3.799297256684606161e-01,3.982989350021973740e-01,4.231161669566695371e-01,4.425305439535798246e-01
3.302517265976824490e+00,4.354340262714982979e-01,4.575059232024260569e-01,4.814412342228362451e-01,5.029805024435999306e-01
3.650968493413979221e+00,4.998239165424929742e-01,5.232573402704147059e-01,5.500000563079173732e-01,5.718433999014206348e-01
4.036184128017647588e+00,5.706512816875927152e-01,5.990874222358750778e-01,6.240802387561331654e-01,6.505556565921530865e-01
4.462042784614986601e+00,6.536013483900307008e-01,6.843126470414495621e-01,7.183693570241549420e-01,7.431913327984998041e-01
4.932832382903981738e+00,7.588425054049552365e-01,7.879422438126646444e-01,8.217134840297609655e-01,8.492500109315669343e-01
5.453291869482495002e+00,8.780822522101716654e-01,9.093138059810728091e-01,9.445626741170116691e-01,9.750933884974359867e-01
6.028660112163804818e+00,1.012963125880919524e+00,1.052614108284394501e+00,1.088006277266731381e+00,1.118128149287645146e+00
6.664737396524722968e+00,1.183742639433484900e+00,1.213406277598494620e+00,1.258200947219786814e+00,1.291570799439192063e+00
7.367914175089028461e+00,1.380967892304665101e+00,1.420839069837271040e+00,1.469959948154372587e+00,1.493798575258598049e+00
8.145278039623025990e+00,1.609215386378175294e+00,1.653546840763924886e+00,1.708652103412482193e+00,1.736106784098317091e+00
9.004643753708087672e+00,1.883227181704896003e+00,1.928813539764478335e+00,1.984264168036166343e+00,2.022111513621544621e+00
9.954689627665675999e+00,2.196945166560039908e+00,2.266209205756842149e+00,2.317305702592015404e+00,2.348810705602012217e+00
1.100494863413854674e+01,2.591290406639996213e+00,2.647645738663174875e+00,2.711039542631614285e+00,2.745817588846138690e+00
1.216603147830079834e+01,3.040663029664667505e+00,3.110859177727463454e+00,3.179067292948082102e+00,3.201717188144884929e+00
1.344955563811413768e+01,3.584780199426943259e+00,3.643377648692568638e+00,3.698616632892060885e+00,3.746326039714915179e+00
1.486845480107689710e+01,4.219546295079155129e+00,4.257317530700421848e+00,4.327509750131416588e+00,4.355543182579616257e+00
1.643700730640472329e+01,4.928291786499926275e+00,4.987268348671044293e+00,5.047911682515257681e+00,5.075300796725705332e+00
1.817097772871322192e+01,5.732238512403917241e+00,5.801506839349275246e+00,5.850052810626115374e+00,5.898124210792399680e+00
2.008780214033683365e+01,6.678779656332793024e+00,6.723642252573448275e+00,6.797176663215793724e+00,6.857412290653707387e+00
2.220674191196725289e+01,7.725155272161308595e+00,7.801609610052768318e+00,7.882396741122361661e+00,7.952255694404890995e+00
2.454910752201603685e+01,8.908384904999842036e+00,8.997858687122942456e+00,9.124462621670376805e+00,9.190669292718222749e+00
2.713832363806281123e+01,1.020310414053188808e+01,1.039074470754597534e+01,1.050311373903877410e+01,1.060574792280186429e+01
3.000041412295890098e+01,1.171386034936837639e+01,1.192566107094840611e+01,1.207690567252813274e+01,1.220493535487413617e+01
3.316461776951877027e+01,1.336601620137970414e+01,1.363568879409997159e+01,1.383825159026149265e+01,1.398402347325415995e+01
3.666181612705913295e+01,1.521068821079772349e+01,1.556777771701611179e+01,1.584354786204403531e+01,1.600231605582948546e+01
4.052794965100636659e+01,1.721777936707300682e+01,1.774895970249816202e+01,1.811666157968045709e+01,1.828201155124107302e+01
4.480224274458046807e+01,1.951196949848491613e+01,2.015254907728669309e+01,2.061867427052526125e+01,2.083860881944617915e+01
4.952745028033064045e+01,2.207726953143053095e+01,2.284096933900837101e+01,2.342027810157096468e+01,2.376444271622056448e+01
5.475237249203786405e+01,2.493151435693206253e+01,2.587426235410870135e+01,2.654514453038483524e+01,2.695807482233161068e+01
6.052843659220317107e+01,2.799585860727395570e+01,2.918977671673301089e+01,3.005860512396805717e+01,3.050794148148894536e+01
6.691436476200949812e+01,3.166233650907598118e+01,3.302453905359643471e+01,3.396088303573928613e+01,3.449619369648734590e+01
7.397612358207987882e+01,3.563941192790767332e+01,3.723226294614632792e+01,3.829173823582951286e+01,3.902182394210516492e+01
8.178365518968435310e+01,4.002117670011929107e+01,4.186709835221036968e+01,4.313396439786814085e+01,4.390324008241109510e+01
9.041633364725453248e+01,4.463824048350481632e+01,4.705710044227191702e+01,4.854464121697039758e+01,4.939888045862883104e+01
9.995786942714769907e+01,4.756260970039465263e+01,5.289866297350972246e+01,5.454085419519066846e+01,5.545645061207382298e+01
